n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower validite
30 3 1 1 0 ras True True 0.02113 2.328 0.0 194.88 194.88 194.88 1
30 3 1 1 1 ras True True 0.02403 14.364 0.15 216.26 216.26 215.94 1
30 3 1 1 2 ras True True 0.02054 4.195 0.4 216.18 216.18 215.313 1
30 3 1 2 0 ras True True 0.25542 2.57 0.0 194.88 194.88 194.88 1
30 3 1 2 1 ras True False 1.24798 305.212 8.83 216.26 216.26 197.171 1
30 3 1 2 2 ras True True 2.37949 86.138 0.34 216.18 216.18 215.44 1
30 3 1 3 0 ras True True 0.20994 2.713 0.0 194.88 194.88 194.88 1
30 3 1 3 1 ras True True 0.35208 13.457 0.0 216.18 216.18 216.18 1
30 3 1 3 2 ras True True 2.32035 32.652 0.0 216.18 216.18 216.18 1
30 3 2 1 0 ras True True 0.02088 2.572 0.0 256.14 256.14 256.14 1
30 3 2 1 1 ras True True 0.02383 6.113 0.0 263.34 263.34 263.34 1
30 3 2 1 2 ras True True 0.02012 5.496 0.01 263.34 263.34 263.326 1
30 3 2 2 0 ras True True 0.24327 14.582 0.37 256.14 256.14 255.18 1
30 3 2 2 1 ras True False 1.22456 305.205 19.09 263.39 263.39 213.108 1
30 3 2 2 2 ras True True 2.44882 124.047 0.21 263.34 263.34 262.793 1
30 3 2 3 0 ras True True 0.28052 7.287 0.0 256.14 256.14 256.14 1
30 3 2 3 1 ras True True 0.43093 15.657 0.0 263.34 263.34 263.34 1
30 3 2 3 2 ras True True 2.34732 27.595 0.0 263.34 263.34 263.34 1
30 3 3 1 0 ras True True 0.02129 2.346 0.0 218.56 218.56 218.56 1
30 3 3 1 1 ras True True 0.02307 12.605 0.0 237.66 237.66 237.66 1
30 3 3 1 2 ras True True 0.02051 8.858 0.0 237.66 237.66 237.66 1
30 3 3 2 0 ras True True 0.25171 16.119 0.0 218.56 218.56 218.56 1
30 3 3 2 1 ras True False 1.26165 305.147 21.79 237.66 237.66 185.88 1
30 3 3 2 2 ras True True 2.25464 175.281 0.37 237.66 237.66 236.792 1
30 3 3 3 0 ras True True 0.22489 3.352 0.0 218.56 218.56 218.56 1
30 3 3 3 1 ras True True 0.36385 15.638 0.0 237.66 237.66 237.66 1
30 3 3 3 2 ras True True 2.34068 75.665 0.0 237.66 237.66 237.66 1
30 3 4 1 0 ras True True 0.02095 1.198 0.0 242.79 242.79 242.79 1
30 3 4 1 1 ras True True 0.02365 9.178 0.34 243.61 243.61 242.79 1
30 3 4 1 2 ras True True 0.02055 4.496 0.34 243.61 243.61 242.79 1
30 3 4 2 0 ras True True 0.24783 18.718 0.4 242.79 242.79 241.826 1
30 3 4 2 1 ras True True 1.22913 242.828 0.12 243.09 243.09 242.79 1
30 3 4 2 2 ras True True 2.45694 139.998 0.0 242.79 242.79 242.79 1
30 3 4 3 0 ras True True 0.28562 6.771 0.0 242.79 242.79 242.79 1
30 3 4 3 1 ras True True 0.34081 8.898 0.0 242.79 242.79 242.79 1
30 3 4 3 2 ras True True 2.29901 33.987 0.0 242.79 242.79 242.79 1
30 3 5 1 0 ras True True 0.02123 1.708 0.0 257.28 257.28 257.28 1
30 3 5 1 1 ras True True 0.02368 10.364 0.0 265.83 265.83 265.83 1
30 3 5 1 2 ras True True 0.02055 7.018 0.0 265.83 265.83 265.83 1
30 3 5 2 0 ras True True 0.24653 8.632 0.36 257.28 257.28 256.363 1
30 3 5 2 1 ras True False 1.20738 305.038 18.67 274.8 274.8 223.483 1
30 3 5 2 2 ras True True 2.50593 117.628 0.35 265.83 265.83 264.895 1
30 3 5 3 0 ras True True 0.21808 4.41 0.0 257.28 257.28 257.28 1
30 3 5 3 1 ras True True 0.36502 13.074 0.0 265.83 265.83 265.83 1
30 3 5 3 2 ras True True 2.33861 28.832 0.0 265.83 265.83 265.83 1
30 7 1 1 0 ras True True 0.02121 2.535 0.0 126.7 126.7 126.7 1
30 7 1 1 1 ras True True 0.02381 12.303 0.0 153.12 153.12 153.12 1
30 7 1 1 2 ras True True 0.02107 4.115 0.07 153.12 153.12 153.01 1
30 7 1 2 0 ras True True 0.2501 10.647 0.0 126.7 126.7 126.7 1
30 7 1 2 1 irréalisable False False 1.23189 -1 -1 -1 -1 -1 0
30 7 1 2 2 ras True True 2.42316 209.853 0.61 153.12 153.12 152.19 1
30 7 1 3 0 ras True True 0.21782 2.543 0.0 126.7 126.7 126.7 1
30 7 1 3 1 ras True True 0.34855 22.868 0.0 153.12 153.12 153.12 1
30 7 1 3 2 ras True True 2.31002 31.856 0.07 153.12 153.12 153.01 1
30 7 2 1 0 ras True True 0.02152 3.098 0.0 137.9 137.9 137.9 1
30 7 2 1 1 ras True True 0.0235 16.36 0.6 164.54 164.54 163.556 1
30 7 2 1 2 ras True True 0.02086 8.315 0.56 164.54 164.54 163.62 1
30 7 2 2 0 ras True True 0.25201 17.717 0.58 137.9 137.9 137.105 1
30 7 2 2 1 ras True False 1.20168 305.052 27.27 178.05 178.05 129.494 1
30 7 2 2 2 ras True True 3.16335 266.748 0.45 164.57 164.57 163.828 1
30 7 2 3 0 ras True True 0.22393 2.385 0.0 137.9 137.9 137.9 1
30 7 2 3 1 ras True True 0.37003 39.031 0.0 164.54 164.54 164.54 1
30 7 2 3 2 ras True True 2.34062 29.118 0.0 164.54 164.54 164.54 1
30 7 3 1 0 ras True True 0.02171 2.107 0.0 117.72 117.72 117.72 1
30 7 3 1 1 ras True True 0.02395 9.237 0.53 161.01 161.01 160.16 1
30 7 3 1 2 ras True True 0.02545 13.343 0.55 161.01 161.01 160.127 1
30 7 3 2 0 ras True True 0.25621 11.462 0.49 117.72 117.72 117.149 1
30 7 3 2 1 ras True False 1.23336 305.058 40.96 192.2 192.2 113.475 1
30 7 3 2 2 ras True False 2.46537 301.546 15.24 161.01 161.01 136.48 1
30 7 3 3 0 ras True True 0.22217 2.219 0.0 117.72 117.72 117.72 1
30 7 3 3 1 ras True True 0.36182 46.448 0.61 161.01 161.01 160.03 1
30 7 3 3 2 ras True True 2.35796 45.431 0.53 161.01 161.01 160.16 1
30 7 4 1 0 ras True True 0.02153 2.965 0.0 113.81 113.81 113.81 1
30 7 4 1 1 ras True True 0.02401 12.48 0.0 177.53 177.53 177.53 1
30 7 4 1 2 ras True True 0.02044 5.983 0.49 178.4 178.4 177.53 1
30 7 4 2 0 ras True True 0.24446 2.237 0.0 113.81 113.81 113.81 1
30 7 4 2 1 irréalisable False False 1.20824 -1 -1 -1 -1 -1 0
30 7 4 2 2 ras True False 2.43813 301.514 21.01 183.22 183.22 144.729 1
30 7 4 3 0 ras True True 0.2272 2.105 0.0 113.81 113.81 113.81 1
30 7 4 3 1 ras True True 0.36305 16.396 0.0 177.53 177.53 177.53 1
30 7 4 3 2 ras True True 2.32205 32.816 0.0 177.53 177.53 177.53 1
30 7 5 1 0 ras True True 0.02162 2.91 0.0 135.25 135.25 135.25 1
30 7 5 1 1 ras True True 0.02357 13.148 0.43 176.18 176.18 175.426 1
30 7 5 1 2 ras True True 0.02039 4.949 0.08 176.18 176.18 176.045 1
30 7 5 2 0 ras True True 0.24846 18.508 0.5 135.25 135.25 134.579 1
30 7 5 2 1 ras True False 1.23188 305.819 44.97 223.08 223.08 122.756 1
30 7 5 2 2 ras True True 2.41121 243.136 0.42 176.82 176.82 176.07 1
30 7 5 3 0 ras True True 0.2182 2.963 0.0 135.25 135.25 135.25 1
30 7 5 3 1 ras True True 0.35028 24.619 0.0 176.18 176.18 176.18 1
30 7 5 3 2 ras True True 2.43153 26.21 0.0 176.18 176.18 176.18 1
30 10 1 1 0 ras True True 0.02106 2.725 0.0 110.06 110.06 110.06 1
30 10 1 1 1 ras True True 0.02479 12.656 0.0 134.38 134.38 134.38 1
30 10 1 1 2 ras True True 0.02056 4.198 0.59 135.18 135.18 134.38 1
30 10 1 2 0 ras True True 0.24956 12.549 0.87 110.06 110.06 109.1 1
30 10 1 2 1 ras True False 1.24813 318.585 71.79 322.56 322.56 90.997 1
30 10 1 2 2 ras True True 2.39976 195.901 0.0 134.38 134.38 134.38 1
30 10 1 3 0 ras True True 0.22012 2.137 0.0 110.06 110.06 110.06 1
30 10 1 3 1 ras True True 0.36298 28.449 0.0 134.38 134.38 134.38 1
30 10 1 3 2 ras True True 2.43425 36.758 0.0 134.38 134.38 134.38 1
30 10 2 1 0 ras True True 0.02145 2.906 0.0 93.54 93.54 93.54 1
30 10 2 1 1 ras True True 0.02399 7.768 0.0 131.7 131.7 131.7 1
30 10 2 1 2 ras True True 0.02112 4.009 0.0 131.7 131.7 131.7 1
30 10 2 2 0 ras True True 0.24907 4.282 0.62 93.54 93.54 92.959 1
30 10 2 2 1 ras True False 1.21782 307.398 76.3 405.58 405.58 96.121 1
30 10 2 2 2 ras True True 2.37603 252.576 0.0 131.7 131.7 131.7 1
30 10 2 3 0 ras True True 0.22418 1.935 0.0 93.54 93.54 93.54 1
30 10 2 3 1 ras True True 0.36881 27.777 0.0 131.7 131.7 131.7 1
30 10 2 3 2 ras True True 2.32297 37.239 0.0 131.7 131.7 131.7 1
30 10 3 1 0 ras True True 0.02102 2.305 0.0 101.13 101.13 101.13 1
30 10 3 1 1 ras True True 0.02346 9.957 0.0 149.09 149.09 149.09 1
30 10 3 1 2 ras True True 0.01101 4.526 0.0 149.09 149.09 149.09 1
30 10 3 2 0 ras True True 0.24405 11.228 0.61 101.13 101.13 100.513 1
30 10 3 2 1 ras True False 1.2359 305.08 34.57 160.43 160.43 104.968 1
30 10 3 2 2 ras True True 2.46322 209.446 0.0 149.09 149.09 149.09 1
30 10 3 3 0 ras True True 0.22748 2.323 0.0 101.13 101.13 101.13 1
30 10 3 3 1 ras True True 0.45842 32.051 0.0 149.09 149.09 149.09 1
30 10 3 3 2 ras True True 2.35851 34.577 0.0 149.09 149.09 149.09 1
30 10 4 1 0 ras True True 0.0211 2.668 0.0 108.05 108.05 108.05 1
30 10 4 1 1 ras True True 0.02332 21.13 0.0 157.54 157.54 157.54 1
30 10 4 1 2 ras True True 0.02071 16.66 0.58 157.54 157.54 156.619 1
30 10 4 2 0 ras True True 0.26284 8.541 0.75 108.05 108.05 107.243 1
30 10 4 2 1 ras True False 1.23997 318.112 72.74 409.25 409.25 111.566 1
30 10 4 2 2 ras True False 2.48462 301.497 40.98 199.73 199.73 117.88 1
30 10 4 3 0 ras True True 0.22221 2.104 0.0 108.05 108.05 108.05 1
30 10 4 3 1 ras True True 0.36634 112.415 0.0 157.54 157.54 157.54 1
30 10 4 3 2 ras True True 2.37421 180.356 0.0 157.54 157.54 157.54 1
30 10 5 1 0 ras True True 0.02127 2.626 0.0 98.08 98.08 98.08 1
