n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
30 3 1 1 0 ras True True 0.02149 0.088 0.0 7.567 7.567 7.567
30 3 1 1 1 ras True True 0.02352 0.146 0.0 8.689 8.689 8.689
30 3 1 1 2 ras True True 0.0203 0.036 0.0 0.0 0.0 0.0
30 3 1 2 0 ras True True 0.25248 1.003 0.0 181.169 181.169 181.169
30 3 1 2 1 ras True False 1.22248 305.068 32.18 270.15 270.15 183.225
30 3 1 2 2 ras True False 3.23806 301.992 6.6 216.26 216.26 201.991
30 3 1 3 0 ras True True 0.28191 1.002 0.0 17.178 17.178 17.178
30 3 1 3 1 ras True False 0.45923 301.367 80.57 216.18 216.18 42.013
30 3 1 3 2 ras True False 2.44143 301.53 58.36 216.26 216.26 90.05
30 3 2 1 0 ras True True 0.02117 0.077 0.0 7.756 7.756 7.756
30 3 2 1 1 ras True True 0.02325 0.164 0.0 9.312 9.312 9.312
30 3 2 1 2 ras True True 0.02016 0.036 0.0 0.0 0.0 0.0
30 3 2 2 0 ras True True 0.24651 1.107 0.0 197.029 197.029 197.029
30 3 2 2 1 ras True False 1.21277 305.123 37.37 319.06 319.06 199.835
30 3 2 2 2 ras True False 3.1335 301.722 24.86 263.34 263.34 197.862
30 3 2 3 0 ras True True 0.21518 0.751 0.0 32.213 32.213 32.213
30 3 2 3 1 ras True False 0.34486 301.014 76.62 263.34 263.34 61.557
30 3 2 3 2 ras True True 2.32728 289.112 0.0 263.34 263.34 263.34
30 3 3 1 0 ras True True 0.02106 0.076 0.0 7.286 7.286 7.286
30 3 3 1 1 ras True True 0.02233 0.132 0.0 8.374 8.374 8.374
30 3 3 1 2 ras True True 0.01908 0.034 0.0 0.0 0.0 0.0
30 3 3 2 0 ras True True 0.23912 0.96 0.0 168.185 168.185 168.185
30 3 3 2 1 ras True False 1.15986 304.83 29.85 245.2 245.2 172.02
30 3 3 2 2 ras True False 2.92242 301.677 31.42 245.25 245.25 168.185
30 3 3 3 0 ras True True 0.22774 0.792 0.0 29.111 29.111 29.111
30 3 3 3 1 ras True False 0.36379 301.072 69.42 237.66 237.66 72.685
30 3 3 3 2 ras True False 2.63122 301.414 80.37 242.99 242.99 47.695
30 3 4 1 0 ras True True 0.02071 0.075 0.0 7.526 7.526 7.526
30 3 4 1 1 ras True True 0.02237 0.137 0.0 9.192 9.192 9.192
30 3 4 1 2 ras True True 0.01931 0.035 0.0 0.0 0.0 0.0
30 3 4 2 0 ras True True 0.24075 1.135 0.0 196.543 196.543 196.543
30 3 4 2 1 ras True False 1.15663 305.052 58.74 481.13 481.13 198.526
30 3 4 2 2 ras True False 2.46809 301.561 35.37 304.12 304.12 196.545
30 3 4 3 0 ras True True 0.22437 0.78 0.0 25.468 25.468 25.468
30 3 4 3 1 ras True False 0.40418 301.068 81.72 255.18 255.18 46.648
30 3 4 3 2 ras True False 2.421 301.537 40.65 243.61 243.61 144.59
30 3 5 1 0 ras True True 0.02109 0.085 0.0 7.78 7.78 7.78
30 3 5 1 1 ras True True 0.02276 0.134 0.0 8.605 8.605 8.605
30 3 5 1 2 ras True True 0.01996 0.035 0.0 0.0 0.0 0.0
30 3 5 2 0 ras True True 0.24671 0.991 0.0 197.756 197.756 197.756
30 3 5 2 1 ras True False 1.1946 304.999 28.92 280.89 280.89 199.655
30 3 5 2 2 ras True False 2.55402 301.586 23.71 265.83 265.83 202.808
30 3 5 3 0 ras True True 0.28214 0.999 0.0 26.598 26.598 26.598
30 3 5 3 1 ras True False 0.47948 301.396 80.39 274.8 274.8 53.898
30 3 5 3 2 ras True False 2.43791 301.568 88.37 274.8 274.8 31.96
30 7 1 1 0 ras True True 0.02913 0.099 0.0 5.979 5.979 5.979
30 7 1 1 1 ras True True 0.03031 0.133 0.0 6.302 6.302 6.302
30 7 1 1 2 ras True True 0.02567 0.048 0.0 0.0 0.0 0.0
30 7 1 2 0 ras True True 0.31683 1.14 0.0 100.309 100.309 100.309
30 7 1 2 1 ras True False 1.56196 305.465 51.47 222.61 222.61 108.027
30 7 1 2 2 ras True False 2.47361 301.512 20.26 153.12 153.12 122.098
30 7 1 3 0 ras True True 0.2133 0.735 0.0 14.388 14.388 14.388
30 7 1 3 1 ras True False 0.3541 300.988 74.29 153.12 153.12 39.37
30 7 1 3 2 ras True False 2.37818 301.49 84.89 159.78 159.78 24.146
30 7 2 1 0 ras True True 0.02157 0.07 0.0 5.384 5.384 5.384
30 7 2 1 1 ras True True 0.02378 0.119 0.0 6.08 6.08 6.08
30 7 2 1 2 ras True True 0.02023 0.036 0.0 0.0 0.0 0.0
30 7 2 2 0 ras True True 0.25827 0.922 0.0 102.466 102.466 102.466
30 7 2 2 1 ras True False 1.23219 305.212 59.52 265.2 265.2 107.35
30 7 2 2 2 ras True False 3.17623 301.98 36.35 166.43 166.43 105.937
30 7 2 3 0 ras True True 0.21162 0.733 0.0 15.772 15.772 15.772
30 7 2 3 1 ras True False 0.34979 301.037 80.95 183.22 183.22 34.909
30 7 2 3 2 ras True False 3.12536 301.799 86.45 168.81 168.81 22.879
30 7 3 1 0 ras True True 0.02136 0.072 0.0 4.877 4.877 4.877
30 7 3 1 1 ras True True 0.02309 0.105 0.0 5.829 5.829 5.829
30 7 3 1 2 ras True True 0.02056 0.036 0.0 0.0 0.0 0.0
30 7 3 2 0 ras True True 0.24961 0.89 0.0 91.448 91.448 91.448
30 7 3 2 1 ras True False 1.21441 305.056 49.03 192.2 192.2 97.97
30 7 3 2 2 ras True False 2.4456 301.535 44.84 166.23 166.23 91.694
30 7 3 3 0 ras True True 0.22688 0.779 0.0 18.023 18.023 18.023
30 7 3 3 1 ras True False 0.36328 301.057 77.54 161.79 161.79 36.343
30 7 3 3 2 ras True False 2.37033 301.527 48.5 161.89 161.89 83.38
30 7 4 1 0 ras True True 0.02864 0.093 0.0 5.27 5.27 5.27
30 7 4 1 1 ras True True 0.03029 0.122 0.0 6.696 6.696 6.696
30 7 4 1 2 ras True True 0.02625 0.049 0.0 0.0 0.0 0.0
30 7 4 2 0 ras True True 0.31871 1.191 0.0 101.203 101.203 101.203
30 7 4 2 1 ras True False 1.32669 305.844 56.6 246.46 246.46 106.966
30 7 4 2 2 ras True False 3.16544 301.958 51.38 210.19 210.19 102.189
30 7 4 3 0 ras True True 0.21737 0.776 0.0 22.801 22.801 22.801
